"Date","NIFTY"
22-Apr-96,1106.9
23-Apr-96,1095.8
24-Apr-96,1145.1
25-Apr-96,1120.8
26-Apr-96,1123.6
29-Apr-96,1118.3
30-Apr-96,1114.3
1-May-96,1137.8
2-May-96,1132
3-May-96,1119.4
6-May-96,1088.2
7-May-96,1093
8-May-96,1108.5
9-May-96,1090.5
10-May-96,1078.6
13-May-96,1088.1
14-May-96,1105.4
15-May-96,1115.9
16-May-96,1128.5
17-May-96,1115.5
20-May-96,1083.6
21-May-96,1074.8
22-May-96,1081.1
23-May-96,1076.7
24-May-96,1085
27-May-96,1065.2
28-May-96,1063.3
29-May-96,1096.7
30-May-96,1082.8
31-May-96,1089.9
3-Jun-96,1108.8
4-Jun-96,1105.6
5-Jun-96,1113.1
6-Jun-96,1129.8
7-Jun-96,1133.4
10-Jun-96,1141.3
11-Jun-96,1143
12-Jun-96,1163.8
13-Jun-96,1168.4
14-Jun-96,1196
17-Jun-96,1185.3
18-Jun-96,1181.9
19-Jun-96,1168
20-Jun-96,1169.4
21-Jun-96,1157.4
24-Jun-96,1146.7
25-Jun-96,1127.7
26-Jun-96,1119.8
27-Jun-96,1127
28-Jun-96,1122
1-Jul-96,1109
2-Jul-96,1100
3-Jul-96,1080
4-Jul-96,1088
5-Jul-96,1093
8-Jul-96,1103.4
9-Jul-96,1088.7
10-Jul-96,1086.6
11-Jul-96,1097.4
12-Jul-96,1089.3
15-Jul-96,1093.3
16-Jul-96,1083.4
18-Jul-96,1118.6
19-Jul-96,1119.2
22-Jul-96,1125.6
23-Jul-96,1092.1
24-Jul-96,1069.4
25-Jul-96,1062.6
26-Jul-96,1051.2
29-Jul-96,1033.9
30-Jul-96,1014.9
31-Jul-96,1042.8
1-Aug-96,1036.6
2-Aug-96,1032.9
5-Aug-96,1032.2
6-Aug-96,1035.5
7-Aug-96,1048.5
8-Aug-96,1039.2
9-Aug-96,1037.9
12-Aug-96,1032.1
13-Aug-96,1024.4
14-Aug-96,1018.4
16-Aug-96,1002.2
19-Aug-96,975.66
20-Aug-96,977.34
21-Aug-96,999.19
22-Aug-96,1002.1
23-Aug-96,1012.7
26-Aug-96,1009
27-Aug-96,1014.6
28-Aug-96,1027
29-Aug-96,1025.8
30-Aug-96,1029
2-Sep-96,1036.9
3-Sep-96,1023.2
4-Sep-96,1026.4
5-Sep-96,1037.4
6-Sep-96,1032
9-Sep-96,1013.8
10-Sep-96,1001.1
11-Sep-96,991.34
12-Sep-96,989.28
13-Sep-96,980.72
16-Sep-96,962.27
17-Sep-96,971.21
18-Sep-96,994.43
19-Sep-96,977.76
20-Sep-96,977.03
23-Sep-96,968.84
24-Sep-96,968.91
25-Sep-96,971.29
26-Sep-96,959.31
27-Sep-96,947.23
30-Sep-96,943.96
1-Oct-96,936.27
3-Oct-96,924.92
4-Oct-96,904.12
7-Oct-96,874
8-Oct-96,873.9
9-Oct-96,874.72
10-Oct-96,898.42
11-Oct-96,908.79
14-Oct-96,892.05
15-Oct-96,897.77
16-Oct-96,892.77
17-Oct-96,892.07
18-Oct-96,895
22-Oct-96,919.09
23-Oct-96,951.29
24-Oct-96,932.77
25-Oct-96,936.95
28-Oct-96,935.89
29-Oct-96,926.39
30-Oct-96,929.03
31-Oct-96,909.29
1-Nov-96,906.68
4-Nov-96,890.13
5-Nov-96,881.57
6-Nov-96,866.57
7-Nov-96,874.89
8-Nov-96,884.64
10-Nov-96,880.36
11-Nov-96,891.27
13-Nov-96,896.84
14-Nov-96,889.39
15-Nov-96,894.31
18-Nov-96,904.05
19-Nov-96,897.58
20-Nov-96,876.61
21-Nov-96,869.82
22-Nov-96,850.33
25-Nov-96,852.26
26-Nov-96,855.48
27-Nov-96,829.08
28-Nov-96,825.47
29-Nov-96,830.32
2-Dec-96,820.25
3-Dec-96,809.43
4-Dec-96,788.15
5-Dec-96,802.23
6-Dec-96,808.19
9-Dec-96,808.69
10-Dec-96,803.2
11-Dec-96,837.07
12-Dec-96,827.25
13-Dec-96,824.62
16-Dec-96,847.27
17-Dec-96,850.74
18-Dec-96,860.4
19-Dec-96,860.58
20-Dec-96,884.38
23-Dec-96,882
24-Dec-96,884.05
26-Dec-96,911.8
31-Dec-96,899.1
1-Jan-97,939.55
2-Jan-97,927.05
3-Jan-97,931.65
6-Jan-97,927.8
7-Jan-97,928.8
8-Jan-97,946.7
9-Jan-97,956.6
10-Jan-97,980.35
13-Jan-97,980.7
14-Jan-97,989.3
15-Jan-97,1041.8
16-Jan-97,1009.4
17-Jan-97,1001.7
20-Jan-97,977
21-Jan-97,960.5
22-Jan-97,987.1
24-Jan-97,985.9
27-Jan-97,1009.1
28-Jan-97,1021.8
29-Jan-97,1017.2
30-Jan-97,1000
31-Jan-97,972.65
3-Feb-97,948.2
4-Feb-97,958.3
5-Feb-97,962.5
6-Feb-97,967.75
7-Feb-97,978.8
10-Feb-97,981.45
11-Feb-97,992.75
12-Feb-97,1001
13-Feb-97,1002.1
14-Feb-97,1009.4
17-Feb-97,1020.1
18-Feb-97,1000.7
19-Feb-97,1011.8
20-Feb-97,1003.1
21-Feb-97,991.55
24-Feb-97,964.75
25-Feb-97,966.1
26-Feb-97,968.85
27-Feb-97,992.75
28-Feb-97,998.65
1-Mar-97,1102.9
3-Mar-97,1107.7
4-Mar-97,1117.3
5-Mar-97,1132.9
6-Mar-97,1127.2
10-Mar-97,1078.7
11-Mar-97,1052
12-Mar-97,1074.2
13-Mar-97,1066.5
14-Mar-97,1070.1
17-Mar-97,1072.6
18-Mar-97,1064.3
19-Mar-97,1052
20-Mar-97,1054.8
21-Mar-97,1061.4
25-Mar-97,1058.3
26-Mar-97,1059.2
27-Mar-97,1057.8
31-Mar-97,968.3
1-Apr-97,970.15
2-Apr-97,1002.2
3-Apr-97,1010.6
4-Apr-97,1001
7-Apr-97,990.9
9-Apr-97,1030.3
10-Apr-97,1008.3
11-Apr-97,1013.4
12-Apr-97,1003.2
15-Apr-97,1014.9
17-Apr-97,1035.2
21-Apr-97,1060.6
22-Apr-97,1059.8
23-Apr-97,1071
24-Apr-97,1067.2
25-Apr-97,1069.4
28-Apr-97,1065.4
29-Apr-97,1057.4
30-Apr-97,1079.8
2-May-97,1069
5-May-97,1045.5
6-May-97,1048.4
7-May-97,1044.4
8-May-97,1054
9-May-97,1053.3
12-May-97,1040.5
13-May-97,1031
14-May-97,1041.6
15-May-97,1045
16-May-97,1048.4
19-May-97,1050.8
20-May-97,1050.8
21-May-97,1042
22-May-97,1037.2
23-May-97,1033.7
26-May-97,1026.9
27-May-97,1025.7
28-May-97,1027
29-May-97,1038.2
30-May-97,1050.9
2-Jun-97,1064.9
3-Jun-97,1073.7
4-Jun-97,1085.7
5-Jun-97,1086.6
6-Jun-97,1082.7
9-Jun-97,1074.6
10-Jun-97,1081.1
11-Jun-97,1104.6
12-Jun-97,1120.7
13-Jun-97,1136.3
16-Jun-97,1129.7
17-Jun-97,1138.8
18-Jun-97,1159.8
19-Jun-97,1159.8
20-Jun-97,1158.3
23-Jun-97,1153.7
24-Jun-97,1155.3
25-Jun-97,1161.9
26-Jun-97,1168.2
27-Jun-97,1169.6
30-Jun-97,1192.4
1-Jul-97,1200.4
2-Jul-97,1222.9
3-Jul-97,1214.9
4-Jul-97,1216.1
7-Jul-97,1209.7
8-Jul-97,1198.2
